IdDistrito,Distrito,IdProvincia
010101,CHACHAPOYAS,1
010102,ASUNCION,1
010103,BALSAS,1
010104,CHETO,1
010105,CHILIQUIN,1
010106,CHUQUIBAMBA,1
010107,GRANADA,1
010108,HUANCAS,1
010109,LA JALCA,1
010110,LEIMEBAMBA,1
010111,LEVANTO,1
010112,MAGDALENA,1
010113,MARISCAL CASTILLA,1
010114,MOLINOPAMPA,1
010115,MONTEVIDEO,1
010116,OLLEROS,1
010117,QUINJALCA,1
010118,SAN FRANCISCO DE DAGUAS,1
010119,SAN ISIDRO DE MAINO,1
010120,SOLOCO,1
010121,SONCHE,1
010206,LA PECA,2
010202,ARAMANGO,2
010203,COPALLIN,2
010204,EL PARCO,2
010201,BAGUA,2
010205,IMAZA,2
010301,JUMBILLA,3
010304,COROSHA,3
010305,CUISPES,3
010302,CHISQUILLA,3
010303,CHURUJA,3
010306,FLORIDA,3
010308,RECTA,3
010309,SAN CARLOS,3
010310,SHIPASBAMBA,3
010311,VALERA,3
010312,YAMBRASBAMBA,3
010307,JAZAN,3
010501,LAMUD,4
010502,CAMPORREDONDO,4
010503,COCABAMBA,4
010504,COLCAMAR,4
010505,CONILA,4
010506,INGUILPATA,4
010507,LONGUITA,4
010508,LONYA CHICO,4
010509,LUYA,4
010510,LUYA VIEJO,4
010511,MARIA,4
010512,OCALLI,4
010513,OCUMAL,4
010514,PISUQUIA,4
010516,SAN CRISTOBAL,4
010517,SAN FRANCISCO DEL YESO,4
010518,SAN JERONIMO,4
010519,SAN JUAN DE LOPECANCHA,4
010520,SANTA CATALINA,4
010521,SANTO TOMAS,4
010522,TINGO,4
010523,TRITA,4
010515,PROVIDENCIA,4
010601,SAN NICOLAS,5
010603,COCHAMAL,5
010602,CHIRIMOTO,5
010604,HUAMBO,5
010605,LIMABAMBA,5
010606,LONGAR,5
010608,MILPUC,5
010607,MARISCAL BENAVIDES,5
010609,OMIA,5
010610,SANTA ROSA,5
010611,TOTORA,5
010612,VISTA ALEGRE,5
010401,NIEVA,6
010403,RIO SANTIAGO,6
010402,EL CENEPA,6
010701,BAGUA GRANDE,7
010702,CAJARURO,7
010703,CUMBA,7
010704,EL MILAGRO,7
010705,JAMALCA,7
010706,LONYA GRANDE,7
010707,YAMON,7
020101,HUARAZ,8
020105,INDEPENDENCIA,8
020102,COCHABAMBA,8
020103,COLCABAMBA,8
020104,HUANCHAY,8
020106,JANGAS,8
020107,LA LIBERTAD,8
020108,OLLEROS,8
020109,PAMPAS,8
020110,PARIACOTO,8
020111,PIRA,8
020112,TARICA,8
020201,AIJA,9
020202,CORIS,9
020203,HUACLLAN,9
020204,LA MERCED,9
020205,SUCCHA,9
020501,CHIQUIAN,10
020502,ABELARDO PARDO LEZAMETA,10
020504,AQUIA,10
020505,CAJACAY,10
020510,HUAYLLACAYAN,10
020509,HUASTA,10
020512,MANGAS,10
020513,PACLLON,10
020514,SAN MIGUEL DE CORPANQUI,10
020515,TICLLOS,10
020503,ANTONIO RAYMONDI,10
020506,CANIS,10
020507,COLQUIOC,10
020511,LA PRIMAVERA,10
020508,HUALLANCA,10
020601,CARHUAZ,11
020602,ACOPAMPA,11
020603,AMASHCA,11
020604,ANTA,11
020605,ATAQUERO,11
020606,MARCARA,11
020607,PARIAHUANCA,11
020608,SAN MIGUEL DE ACO,11
020609,SHILLA,11
020610,TINCO,11
020611,YUNGAR,11
020801,CASMA,12
020802,BUENA VISTA ALTA,12
020803,COMANDANTE NOEL,12
020804,YAUTAN,12
020901,CORONGO,13
020902,ACO,13
020903,BAMBAS,13
020904,CUSCA,13
020905,LA PAMPA,13
020906,YANAC,13
020907,YUPAN,13
021201,CARAZ,14
021202,HUALLANCA,14
021203,HUATA,14
021204,HUAYLAS,14
021205,MATO,14
021206,PAMPAROMAS,14
021207,PUEBLO LIBRE / 1,14
021208,SANTA CRUZ,14
021210,YURACMARCA,14
021209,SANTO TORIBIO,14
021001,HUARI,15
021003,CAJAY,15
021004,CHAVIN DE HUANTAR,15
021005,HUACACHI,15
021007,HUACHIS,15
021006,HUACCHIS,15
021008,HUANTAR,15
021009,MASIN,15
021010,PAUCAS,15
021011,PONTO,15
021012,RAHUAPAMPA,15
021013,RAPAYAN,15
021014,SAN MARCOS,15
021015,SAN PEDRO DE CHANA,15
021016,UCO,15
021002,ANRA,15
021301,PISCOBAMBA,16
021302,CASCA,16
021307,LUCMA,16
021304,FIDEL OLIVAS ESCUDERO,16
021305,LLAMA,16
021306,LLUMPA,16
021308,MUSGA,16
021303,ELEAZAR GUZMAN BARRON,16
021501,CABANA,17
021502,BOLOGNESI,17
021503,CONCHUCOS,17
021504,HUACASCHUQUE,17
021505,HUANDOVAL,17
021506,LACABAMBA,17
021507,LLAPO,17
021508,PALLASCA,17
021509,PAMPAS,17
021510,SANTA ROSA,17
021511,TAUCA,17
021601,POMABAMBA,18
021602,HUAYLLAN,18
021603,PAROBAMBA,18
021604,QUINUABAMBA,18
021701,RECUAY,19
021703,COTAPARACO,19
021704,HUAYLLAPAMPA,19
021706,MARCA,19
021707,PAMPAS CHICO,19
021708,PARARIN,19
021709,TAPACOCHA,19
021710,TICAPAMPA,19
021705,LLACLLIN,19
021702,CATAC,19
021801,CHIMBOTE,20
021802,CACERES DEL PERU,20
021804,MACATE,20
021805,MORO,20
021806,NEPEÑA,20
021807,SAMANCO,20
021808,SANTA,20
021803,COISHCO,20
021809,NUEVO CHIMBOTE,20
021901,SIHUAS,21
021903,ALFONSO UGARTE,21
021905,CHINGALPO,21
021906,HUAYLLABAMBA,21
021907,QUICHES,21
021910,SICSIBAMBA,21
021902,ACOBAMBA,21
021904,CASHAPAMPA,21
021908,RAGASH,21
021909,SAN JUAN,21
022001,YUNGAY,22
022002,CASCAPARA,22
022003,MANCOS,22
022004,MATACOTO,22
022005,QUILLO,22
022006,RANRAHIRCA,22
022007,SHUPLUY,22
022008,YANAMA,22
020301,LLAMELLIN,23
020302,ACZO,23
020303,CHACCHO,23
020304,CHINGAS,23
020305,MIRGAS,23
020306,SAN JUAN DE RONTOY,23
020701,SAN LUIS,24
020703,YAUYA,24
020702,SAN NICOLAS,24
020401,CHACAS,25
020402,ACOCHACA,25
021101,HUARMEY,26
021102,COCHAPETI,26
021104,HUAYAN,26
021105,MALVAS,26
021103,CULEBRAS,26
021402,ACAS,27
021403,CAJAMARQUILLA,27
021404,CARHUAPAMPA,27
021405,COCHAS,27
021406,CONGAS,27
021407,LLIPA,27
021401,OCROS,27
021408,SAN CRISTOBAL DE RAJAN,27
021409,SAN PEDRO,27
021410,SANTIAGO DE CHILCAS,27
030101,ABANCAY,28
030103,CIRCA,28
030104,CURAHUASI,28
030102,CHACOCHE,28
030105,HUANIPACA,28
030106,LAMBRAMA,28
030107,PICHIRHUA,28
030108,SAN PEDRO DE CACHORA,28
030109,TAMBURCO,28
030401,CHALHUANCA,29
030402,CAPAYA,29
030403,CARAYBAMBA,29
030405,COLCABAMBA,29
030406,COTARUSE,29
030404,CHAPIMARCA,29
030407,HUAYLLO,29
030409,LUCRE,29
030410,POCOHUANCA,29
030412,SAÑAYCA,29
030413,SORAYA,29
030414,TAPAIRIHUA,29
030415,TINTAY,29
030416,TORAYA,29
030417,YANACA,29
030411,SAN JUAN DE CHACÑA,29
030408,JUSTO APU SAHUARAURA,29
030201,ANDAHUAYLAS,30
030202,ANDARAPA,30
030203,CHIARA,30
030204,HUANCARAMA,30
030205,HUANCARAY,30
030207,KISHUARA,30
030208,PACOBAMBA,30
030210,PAMPACHIRI,30
030212,SAN ANTONIO DE CACHI,30
030213,SAN JERONIMO,30
030216,TALAVERA,30
030218,TURPO,30
030209,PACUCHA,30
030211,POMACOCHA,30
030215,SANTA MARIA DE CHICMO,30
030217,TUMAY HUARACA,30
030206,HUAYANA,30
030214,SAN MIGUEL DE CHACCRAMPA,30
030219,KAQUIABAMBA,30
030301,ANTABAMBA,31
030302,EL ORO,31
030303,HUAQUIRCA,31
030304,JUAN ESPINOZA MEDRANO,31
030305,OROPESA,31
030306,PACHACONAS,31
030307,SABAINO,31
030501,TAMBOBAMBA,32
030503,COYLLURQUI,32
030502,COTABAMBAS,32
030504,HAQUIRA,32
030505,MARA,32
030506,CHALLHUAHUACHO,32
030701,CHUQUIBAMBILLA,33
030702,CURPAHUASI,33
030704,HUAYLLATI,33
030705,MAMARA,33
030703,GAMARRA,33
030706,MICAELA BASTIDAS,33
030708,PROGRESO,33
030707,PATAYPAMPA,33
030709,SAN ANTONIO,33
030711,TURPAY,33
030712,VILCABAMBA,33
030713,VIRUNDO,33
030710,SANTA ROSA,33
030714,CURASCO,33
030601,CHINCHEROS,34
030606,ONGOY,34
030605,OCOBAMBA,34
030603,COCHARCAS,34
030602,ANCO-HUALLO,34
030604,HUACCANA,34
030607,URANMARCA,34
030608,RANRACANCHA,34
040101,AREQUIPA,35
040103,CAYMA,35
040104,CERRO COLORADO,35
040105,CHARACATO,35
040106,CHIGUATA,35
040108,LA JOYA,35
040110,MIRAFLORES,35
040111,MOLLEBAYA,35
040112,PAUCARPATA,35
040113,POCSI,35
040114,POLOBAYA,35
040115,QUEQUEÑA,35
040116,SABANDIA,35
040117,SACHACA,35
040118,SAN JUAN DE SIGUAS /1,35
040119,SAN JUAN DE TARUCANI,35
040120,SANTA ISABEL DE SIGUAS,35
040121,SANTA RITA DE SIGUAS,35
040122,SOCABAYA,35
040123,TIABAYA,35
040124,UCHUMAYO,35
040125,VITOR,35
040126,YANAHUARA,35
040127,YARABAMBA,35
040128,YURA,35
040109,MARIANO MELGAR,35
040107,JACOBO HUNTER,35
040102,ALTO SELVA ALEGRE,35
040129,JOSE LUIS BUSTAMANTE Y RIVERO,35
040501,CHIVAY,36
040502,ACHOMA,36
040503,CABANACONDE,36
040505,CAYLLOMA,36
040504,CALLALLI,36
040506,COPORAQUE,36
040507,HUAMBO,36
040508,HUANCA,36
040509,ICHUPAMPA,36
040510,LARI,36
040511,LLUTA,36
040512,MACA,36
040513,MADRIGAL,36
040514,SAN ANTONIO DE CHUCA  2/,36
040515,SIBAYO,36
040516,TAPAY,36
040517,TISCO,36
040518,TUTI,36
040519,YANQUE,36
040520,MAJES,36
040201,CAMANA,37
040202,JOSE MARIA QUIMPER,37
040203,MARIANO NICOLAS VALCARCEL,37
040204,MARISCAL CACERES,37
040205,NICOLAS DE PIEROLA,37
040206,OCOÑA,37
040207,QUILCA,37
040208,SAMUEL PASTOR,37
040301,CARAVELI,38
040302,ACARI,38
040303,ATICO,38
040304,ATIQUIPA,38
040305,BELLA UNION,38
040306,CAHUACHO,38
040307,CHALA,38
040308,CHAPARRA,38
040309,HUANUHUANU,38
040310,JAQUI,38
040311,LOMAS,38
040312,QUICACHA,38
040313,YAUCA,38
040401,APLAO,39
040402,ANDAGUA,39
040403,AYO,39
040404,CHACHAS,39
040405,CHILCAYMARCA,39
040406,CHOCO,39
040407,HUANCARQUI,39
040408,MACHAGUAY,39
040409,ORCOPAMPA,39
040410,PAMPACOLCA,39
040411,TIPAN,39
040413,URACA,39
040412,UÑON,39
040414,VIRACO,39
040601,CHUQUIBAMBA,40
040602,ANDARAY,40
040603,CAYARANI,40
040604,CHICHAS,40
040605,IRAY,40
040607,SALAMANCA,40
040608,YANAQUIHUA,40
040606,RIO GRANDE,40
040701,MOLLENDO,41
040702,COCACHACRA,41
040703,DEAN VALDIVIA,41
040704,ISLAY,41
040705,MEJIA,41
040706,PUNTA DE BOMBON,41
040801,COTAHUASI,42
040802,ALCA,42
040803,CHARCANA,42
040804,HUAYNACOTAS,42
040805,PAMPAMARCA,42
040806,PUYCA,42
040807,QUECHUALLA,42
040808,SAYLA,42
040809,TAURIA,42
040810,TOMEPAMPA,42
040811,TORO,42
050101,AYACUCHO,43
050103,ACOS VINCHOS,43
050104,CARMEN ALTO,43
050105,CHIARA,43
050108,QUINUA,43
050109,SAN JOSE DE TICLLAS,43
