[2026-03-05T16:45:01.475Z] [INFO] Server running on port 3001
[2026-03-05T16:45:02.497Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T16:55:27.554Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T16:55:27.577Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T16:55:29.105Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:03:04.717Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:03:04.942Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:03:05.147Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:03:40.028Z] [INFO] Server running on port 3001
[2026-03-05T17:03:41.235Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:04:10.221Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:04:10.470Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:15:08.702Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:15:09.716Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:22:16.294Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:22:16.739Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:26:52.909Z] [INFO] Server running on port 3001
[2026-03-05T17:26:53.511Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:27:41.588Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:57:25.860Z] [INFO] Server running on port 3001
[2026-03-05T17:57:30.501Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T17:57:36.931Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
